"goods_nomenclature_sid";"goods_nomenclature_item_id";"producline_suffix";"validity_start_date";"leaf";"number_indents"
104358;"0202205015";"80";"2017-09-21 00:00:00";"1";4
104359;"0202205091";"10";"2017-09-21 00:00:00";"0";3
104360;"0202205091";"80";"2017-09-21 00:00:00";"1";4
104361;"0202205099";"80";"2017-09-21 00:00:00";"1";4
27901;"0202209000";"80";"1972-01-01 00:00:00";"0";2
104333;"0202209011";"10";"2017-09-21 00:00:00";"0";3
104369;"0202209011";"80";"2017-09-21 00:00:00";"1";4
104371;"0202209015";"80";"2017-09-21 00:00:00";"1";4
104373;"0202209091";"10";"2017-09-21 00:00:00";"0";3
104370;"0202209091";"80";"2017-09-21 00:00:00";"1";4
104372;"0202209099";"80";"2017-09-21 00:00:00";"1";4
27904;"0202300000";"80";"1972-01-01 00:00:00";"0";1
27905;"0202301000";"80";"1972-01-01 00:00:00";"0";2
104375;"0202301011";"10";"2017-09-21 00:00:00";"0";3
104376;"0202301011";"80";"2017-09-21 00:00:00";"1";4
104379;"0202301015";"80";"2017-09-21 00:00:00";"1";4
104382;"0202301081";"10";"2017-09-21 00:00:00";"0";3
104383;"0202301081";"20";"2017-09-21 00:00:00";"0";4
104384;"0202301081";"30";"2017-09-21 00:00:00";"0";5
104387;"0202301081";"80";"2017-09-21 00:00:00";"1";6
104390;"0202301082";"80";"2017-09-21 00:00:00";"1";6
104385;"0202301083";"10";"2017-09-21 00:00:00";"0";5
104388;"0202301083";"80";"2017-09-21 00:00:00";"1";6
104391;"0202301084";"80";"2017-09-21 00:00:00";"1";6
104408;"0202301085";"10";"2017-09-21 00:00:00";"0";5
104409;"0202301085";"80";"2017-09-21 00:00:00";"1";6
104410;"0202301086";"80";"2017-09-21 00:00:00";"1";6
104386;"0202301087";"10";"2017-09-21 00:00:00";"0";4
104389;"0202301087";"80";"2017-09-21 00:00:00";"1";5
104392;"0202301088";"80";"2017-09-21 00:00:00";"1";5
27910;"0202305000";"80";"1972-01-01 00:00:00";"0";2
104393;"0202305011";"10";"2017-09-21 00:00:00";"0";3
104394;"0202305011";"80";"2017-09-21 00:00:00";"1";4
104395;"0202305015";"80";"2017-09-21 00:00:00";"1";4
104396;"0202305081";"10";"2017-09-21 00:00:00";"0";3
104397;"0202305081";"20";"2017-09-21 00:00:00";"0";4
104398;"0202305081";"30";"2017-09-21 00:00:00";"0";5
104399;"0202305081";"80";"2017-09-21 00:00:00";"1";6
104402;"0202305082";"80";"2017-09-21 00:00:00";"1";6
104405;"0202305083";"10";"2017-09-21 00:00:00";"0";5
104400;"0202305083";"80";"2017-09-21 00:00:00";"1";6
104403;"0202305084";"80";"2017-09-21 00:00:00";"1";6
104411;"0202305085";"10";"2017-09-21 00:00:00";"0";5
104412;"0202305085";"80";"2017-09-21 00:00:00";"1";6
104413;"0202305086";"80";"2017-09-21 00:00:00";"1";6
104406;"0202305087";"10";"2017-09-21 00:00:00";"0";4
104401;"0202305087";"80";"2017-09-21 00:00:00";"1";5
104404;"0202305088";"80";"2017-09-21 00:00:00";"1";5
27915;"0202309000";"80";"1972-01-01 00:00:00";"0";2
104419;"0202309011";"10";"2017-09-21 00:00:00";"0";3
104414;"0202309011";"80";"2017-09-21 00:00:00";"1";4
104421;"0202309015";"80";"2017-09-21 00:00:00";"1";4
104422;"0202309041";"10";"2017-09-21 00:00:00";"0";3
104429;"0202309041";"20";"2017-09-21 00:00:00";"0";4
104428;"0202309041";"30";"2017-09-21 00:00:00";"0";5
104430;"0202309041";"40";"2017-09-21 00:00:00";"0";6
104415;"0202309041";"80";"2017-09-21 00:00:00";"1";7
104423;"0202309042";"80";"2017-09-21 00:00:00";"1";7
104431;"0202309043";"10";"2017-09-21 00:00:00";"0";6
104416;"0202309043";"80";"2017-09-21 00:00:00";"1";7
104424;"0202309044";"80";"2017-09-21 00:00:00";"1";7
104425;"0202309045";"10";"2017-09-21 00:00:00";"0";6
104417;"0202309045";"80";"2017-09-21 00:00:00";"1";7
104426;"0202309046";"80";"2017-09-21 00:00:00";"1";7
104432;"0202309047";"10";"2017-09-21 00:00:00";"0";5
104418;"0202309047";"80";"2017-09-21 00:00:00";"1";6
104427;"0202309048";"80";"2017-09-21 00:00:00";"1";6
63714;"0202309070";"10";"1996-07-01 00:00:00";"0";4
63715;"0202309070";"20";"1996-07-01 00:00:00";"0";5
63722;"0202309070";"80";"1996-07-01 00:00:00";"1";6
63726;"0202309075";"80";"1996-07-01 00:00:00";"1";6
63716;"0202309080";"80";"1996-07-01 00:00:00";"1";6
63717;"0202309090";"80";"1996-07-01 00:00:00";"1";5
27921;"0203000000";"80";"1972-01-01 00:00:00";"0";0
27922;"0203110000";"10";"1972-01-01 00:00:00";"0";1
27923;"0203110000";"80";"1972-01-01 00:00:00";"0";2
27924;"0203111000";"80";"1972-01-01 00:00:00";"1";3
27925;"0203119000";"80";"1972-01-01 00:00:00";"1";3
27926;"0203120000";"80";"1972-01-01 00:00:00";"0";2
27927;"0203121100";"10";"1972-01-01 00:00:00";"0";3
27928;"0203121100";"80";"1972-01-01 00:00:00";"1";4
27929;"0203121900";"80";"1972-01-01 00:00:00";"1";4
27930;"0203129000";"80";"1972-01-01 00:00:00";"1";3
27931;"0203190000";"80";"1972-01-01 00:00:00";"0";2
