Commodity,Suffix,Start,End,Description,Indents
43509,6210300000,80,1972-01-01 00:00:00,,"Other garments, of the type described in subheadings|6202|11|to 6202|19"
43510,6210400000,80,1972-01-01 00:00:00,,Other men's or boys' garments
43511,6210500000,80,1972-01-01 00:00:00,,Other women's or girls' garments
43514,6211110000,80,1972-01-01 00:00:00,,Men's or boys'
43515,6211120000,80,1972-01-01 00:00:00,,Women's or girls'
43517,6211200010,80,1972-01-01 00:00:00,,"Of wool or fine animal hair, of cotton or of man-made fibres"
43518,6211200090,80,1972-01-01 00:00:00,,Other
43522,6211321000,80,1972-01-01 00:00:00,,Industrial and occupational clothing
43524,6211323100,80,1992-01-01 00:00:00,,With an outer shell of a single identical fabric
43526,6211324100,80,1992-01-01 00:00:00,,Upper parts
43527,6211324200,80,1992-01-01 00:00:00,,Lower parts
43528,6211329000,80,1972-01-01 00:00:00,,Other
43530,6211331000,80,1972-01-01 00:00:00,,Industrial and occupational clothing
43532,6211333100,80,1992-01-01 00:00:00,,With an outer shell of a single identical fabric
43534,6211334100,80,1992-01-01 00:00:00,,Upper parts
43535,6211334200,80,1992-01-01 00:00:00,,Lower parts
43536,6211339000,80,1972-01-01 00:00:00,,Other
43541,6211421000,80,1972-01-01 00:00:00,,"Aprons, overalls, smock-overalls and other industrial and occupational clothing (whether or not also suitable for domestic use)"
43543,6211423100,80,1992-01-01 00:00:00,,With an outer shell of a single identical fabric
43545,6211424100,80,1992-01-01 00:00:00,,Upper parts
43546,6211424200,80,1992-01-01 00:00:00,,Lower parts
43547,6211429000,80,1972-01-01 00:00:00,,Other
43549,6211431000,80,1972-01-01 00:00:00,,"Aprons, overalls, smock-overalls and other industrial and occupational clothing (whether or not also suitable for domestic use)"
43551,6211433100,80,1992-01-01 00:00:00,,With an outer shell of a single identical fabric
43553,6211434100,80,1992-01-01 00:00:00,,Upper parts
43554,6211434200,80,1992-01-01 00:00:00,,Lower parts
43555,6211439000,80,1972-01-01 00:00:00,,Other
43556,6211490000,80,1972-01-01 00:00:00,,Of other textile materials
43559,6212200000,80,1972-01-01 00:00:00,,Girdles and panty girdles
43560,6212300000,80,1972-01-01 00:00:00,,Corselettes
43561,6212900000,80,1972-01-01 00:00:00,,Other
43565,6213200010,80,1972-01-01 00:00:00,,Hand-made
43566,6213200090,80,1972-01-01 00:00:00,,Other
43570,6214100010,80,1972-01-01 00:00:00,,Hand-made
43571,6214100090,80,1972-01-01 00:00:00,,Other
43573,6214200010,80,1972-01-01 00:00:00,,Hand-made
43574,6214200090,80,1972-01-01 00:00:00,,Other
43576,6214300010,80,1972-01-01 00:00:00,,Hand-made
43577,6214300090,80,1972-01-01 00:00:00,,Other
43579,6214400010,80,1972-01-01 00:00:00,,Hand-made
43580,6214400090,80,1972-01-01 00:00:00,,Other
43596,6215100010,80,1972-01-01 00:00:00,,Hand-made
43597,6215100090,80,1972-01-01 00:00:00,,Other
43599,6215200010,80,1972-01-01 00:00:00,,Hand-made
43600,6215200090,80,1972-01-01 00:00:00,,Other
43602,6215900010,80,1972-01-01 00:00:00,,Hand-made
43603,6215900090,80,1972-01-01 00:00:00,,Other
43604,6216000000,80,1972-01-01 00:00:00,,"Gloves, mittens and mitts"
43607,6217100010,80,1972-01-01 00:00:00,,Hand-made
43608,6217100090,80,1972-01-01 00:00:00,,Other
43609,6217900000,80,1972-01-01 00:00:00,,Parts
43613,6301100000,80,1972-01-01 00:00:00,,Electric blankets
43615,6301201000,80,1972-01-01 00:00:00,,Knitted or crocheted
43624,6301301000,80,1972-01-01 00:00:00,,Knitted or crocheted
43626,6301309010,80,1972-01-01 00:00:00,,Hand-made
43627,6301309090,80,1972-01-01 00:00:00,,Other
43629,6301401000,80,1972-01-01 00:00:00,,Knitted or crocheted
43631,6301409010,80,1972-01-01 00:00:00,,Nonwovens
43633,6301409091,80,1972-01-01 00:00:00,,Hand-made
43634,6301409099,80,1972-01-01 00:00:00,,Other
43636,6301901000,80,1972-01-01 00:00:00,,Knitted or crocheted
43638,6301909010,80,1972-01-01 00:00:00,,Nonwovens
43640,6301909021,80,1972-01-01 00:00:00,,Of artificial fibres
43641,6301909029,80,1972-01-01 00:00:00,,Other
43643,6301909091,80,1972-01-01 00:00:00,,Of artificial fibres
43644,6301909099,80,1972-01-01 00:00:00,,Other
43646,6302100000,80,1972-01-01 00:00:00,,"Bedlinen, knitted or crocheted"
43654,6302221000,80,1972-01-01 00:00:00,,Nonwovens
43655,6302229000,80,1972-01-01 00:00:00,,Other
43657,6302291000,80,1972-01-01 00:00:00,,Of flax or ramie
43658,6302299000,80,1972-01-01 00:00:00,,Of other textile materials
43662,6302310000,80,1972-01-01 00:00:00,,Of cotton
43670,6302321000,80,1972-01-01 00:00:00,,Nonwovens
43671,6302329000,80,1972-01-01 00:00:00,,Other
43675,6302399000,80,1972-01-01 00:00:00,,Of other textile materials
43678,6302400000,80,1972-01-01 00:00:00,,"Table linen, knitted or crocheted"
43689,6302531000,80,1972-01-01 00:00:00,,Nonwovens
43690,6302539000,80,1972-01-01 00:00:00,,Other
43696,6302600010,80,1989-01-01 00:00:00,,Knitted or crocheted
43697,6302600090,80,1989-01-01 00:00:00,,Other
43708,6302931000,80,1972-01-01 00:00:00,,Nonwovens
43709,6302939000,80,1972-01-01 00:00:00,,Other
43717,6303120000,80,1972-01-01 00:00:00,,Of synthetic fibres
43718,6303190000,80,1972-01-01 00:00:00,,Of other textile materials
43721,6303910010,80,1972-01-01 00:00:00,,Net curtains
43723,6303910091,80,1972-01-01 00:00:00,,"Hand-printed by the ""batik"" method"
43724,6303910099,80,1972-01-01 00:00:00,,Other
43726,6303921000,80,1972-01-01 00:00:00,,Nonwovens
43728,6303929010,80,1972-01-01 00:00:00,,Net curtains
43729,6303929090,80,1972-01-01 00:00:00,,Other
43731,6303991000,80,1972-01-01 00:00:00,,Nonwovens
43733,6303999010,80,1972-01-01 00:00:00,,Of flax or ramie
43735,6303999020,80,1972-01-01 00:00:00,,Net curtains
43737,6303999031,80,1972-01-01 00:00:00,,Hand-made
43738,6303999039,80,1972-01-01 00:00:00,,Other
43739,6303999090,80,1972-01-01 00:00:00,,Other
43742,6304110000,80,1972-01-01 00:00:00,,Knitted or crocheted
43745,6304191010,80,1972-01-01 00:00:00,,"Hand-printed by the ""batik"" method"
43746,6304191090,80,1972-01-01 00:00:00,,Other
43747,6304193000,80,1972-01-01 00:00:00,,Of flax or ramie
43749,6304199010,80,1972-01-01 00:00:00,,Nonwovens
43752,6304199091,80,1989-01-01 00:00:00,,Of wool or man-made fibres
43753,6304199099,80,1989-01-01 00:00:00,,Other
43755,6304910000,80,1972-01-01 00:00:00,,Knitted or crocheted
43757,6304920010,80,1972-01-01 00:00:00,,"Hand-printed by the ""batik"" method"
43758,6304920090,80,1972-01-01 00:00:00,,Other
43760,6304930010,80,1972-01-01 00:00:00,,Nonwovens
43761,6304930090,80,1972-01-01 00:00:00,,Other
43763,6304990010,80,1972-01-01 00:00:00,,Of flax or of ramie
43765,6304990091,80,1972-01-01 00:00:00,,Nonwovens
43767,6304990092,80,1989-01-01 00:00:00,,Of wool or artificial fibres
43768,6304990099,80,1972-01-01 00:00:00,,Other
43771,6305101000,80,1972-01-01 00:00:00,,Used
43772,6305109000,80,1972-01-01 00:00:00,,Other
43774,6305200010,80,1972-01-01 00:00:00,,Knitted or crocheted
43775,6305200090,80,1972-01-01 00:00:00,,Other
43783,6305390010,80,1972-01-01 00:00:00,,Nonwovens
