Measure SID,Order number,Measure type,Start date,End date,Geo,Commodity,additional_code_type_id,additional_code_id,reduction_indicator,measure_generating_regulation_role,measure_generating_regulation_id,justification_regulation_role,justification_regulation_id,stopped_flag,geographical_area_sid,goods_nomenclature_sid,additional_code_sid,export_refund_nomenclature_sid
3101801,094038,122,2009-07-01 00:00:00,,1011,0203195515,,,,1,R0904420,,,False,400,85025,,
3101802,094038,122,2009-07-01 00:00:00,,1011,0203295520,,,,1,R0904420,,,False,400,85035,,
3101803,094038,122,2009-07-01 00:00:00,,1011,0203195525,,,,1,R0904420,,,False,400,85026,,
3101804,094038,122,2009-07-01 00:00:00,,1011,0203295530,,,,1,R0904420,,,False,400,85036,,
3105677,094181,143,2009-07-31 00:00:00,,CL,0201200000,,,,1,R0906100,,,False,205,27824,,
3105678,094181,143,2009-07-31 00:00:00,,CL,0201300000,,,,1,R0906100,,,False,205,27882,,
3105679,094181,143,2009-07-31 00:00:00,,CL,0202200000,,,,1,R0906100,,,False,205,27889,,
3105680,094181,143,2009-07-31 00:00:00,,CL,0202300000,,,,1,R0906100,,,False,205,27904,,
3112508,094324,143,2009-10-01 00:00:00,,AL,1701000000,,,,1,R0908911,,,False,376,32981,,
3112511,094324,143,2009-10-01 00:00:00,,AL,1702000000,,,,1,R0908911,,,False,376,33018,,
3112512,094325,143,2009-10-01 00:00:00,,BA,1701000000,,,,1,R0908911,,,False,431,32981,,
3112513,094325,143,2009-10-01 00:00:00,,BA,1702110000,,,,1,R0908911,,,False,431,59500,,
3112514,094325,143,2009-10-01 00:00:00,,BA,1702190000,,,,1,R0908911,,,False,431,59501,,
3112515,094325,143,2009-10-01 00:00:00,,BA,1702200000,,,,1,R0908911,,,False,431,33022,,
3112516,094325,143,2009-10-01 00:00:00,,BA,1702300000,,,,1,R0908911,,,False,431,33025,,
3112517,094325,143,2009-10-01 00:00:00,,BA,1702400000,,,,1,R0908911,,,False,431,33034,,
3112520,094325,143,2009-10-01 00:00:00,,BA,1702500000,,,,1,R0908911,,,False,431,33037,,
3112523,094325,143,2009-10-01 00:00:00,,BA,1702600000,,,,1,R0908911,,,False,431,33038,,
3112526,094325,143,2009-10-01 00:00:00,,BA,1702901000,,,,1,R0908911,,,False,431,33044,,
3112528,094325,143,2009-10-01 00:00:00,,BA,1702903000,,,,1,R0908911,,,False,431,33045,,
3112531,094325,143,2009-10-01 00:00:00,,BA,1702905000,,,,1,R0908911,,,False,431,33046,,
3112533,094325,143,2009-10-01 00:00:00,,BA,1702907100,,,,1,R0908911,,,False,431,33049,,
3112536,094325,143,2009-10-01 00:00:00,,BA,1702907500,,,,1,R0908911,,,False,431,33051,,
3112539,094325,143,2009-10-01 00:00:00,,BA,1702907900,,,,1,R0908911,,,False,431,33052,,
3112541,094325,143,2009-10-01 00:00:00,,BA,1702908000,,,,1,R0908911,,,False,431,54785,,
3112546,094325,143,2009-10-01 00:00:00,,BA,1702909500,,,,1,R0908911,,,False,431,89274,,
3112571,094327,143,2009-10-01 00:00:00,,MK,1701000000,,,,1,R0908911,,,False,180,32981,,
3112572,094327,143,2009-10-01 00:00:00,,MK,1702000000,,,,1,R0908911,,,False,180,33018,,
3112582,094326,143,2009-10-01 00:00:00,,XK,1701000000,,,,1,R0908911,,,False,88,32981,,
3112587,094326,143,2009-10-01 00:00:00,,XK,1702000000,,,,1,R0908911,,,False,88,33018,,
3112597,094326,143,2009-10-01 00:00:00,,XS,1701000000,,,,1,R0908911,,,False,346,32981,,
3112598,094326,143,2009-10-01 00:00:00,,XS,1702000000,,,,1,R0908911,,,False,346,33018,,
3112623,094321,122,2009-10-01 00:00:00,,IN,1701000000,,,,1,R0908910,,,False,154,32981,,
3136196,094092,143,2010-01-01 00:00:00,,IL,0207271000,,,,4,R0911530,,,False,334,59264,,
3136197,094092,143,2010-01-01 00:00:00,,IL,0207273000,,,,4,R0911530,,,False,334,59267,,
3136198,094092,143,2010-01-01 00:00:00,,IL,0207274000,,,,4,R0911530,,,False,334,59268,,
3136199,094092,143,2010-01-01 00:00:00,,IL,0207275000,,,,4,R0911530,,,False,334,59269,,
3136200,094092,143,2010-01-01 00:00:00,,IL,0207276000,,,,4,R0911530,,,False,334,59271,,
3136201,094092,143,2010-01-01 00:00:00,,IL,0207277000,,,,4,R0911530,,,False,334,59272,,
3160168,094517,122,2010-05-01 00:00:00,,BD,1006300000,,,,1,R9034911,,,False,432,31881,,
3211360,094504,143,2012-01-01 00:00:00,,BA,0102295911,,,,4,R1012554,,,False,431,94089,,
3211362,094199,143,2012-01-01 00:00:00,,ME,0102295911,,,,4,R1012553,,,False,348,94089,,
3211363,094505,143,2012-01-01 00:00:00,,MK,0102295911,,,,4,R1012552,,,False,180,94089,,
3211364,094198,143,2012-01-01 00:00:00,,XS,0102295911,,,,4,R1012555,,,False,346,94089,,
