UNB+XXIB:1+CEC/XXI/B5+               GB+16092018:2000+TARIC'
UNH+TGBGB18116+8116'
001605172643000+00000161103639823490   10110702000000           200620181R1708920200620181R170892000000040000030256                '
001605191743000+00001662303640359552   10118541409051B826       010720184R17157000000000000000000000000040000103311   12275        '
001605191843000+00001673303640391552   10118541409051B827       010720184R17157000000000000000000000000040000103311   12276        '
001605191943000+00001684303640423552   10118541409051B828       010720184R17157000000000000000000000000040000103311   12277        '
001605192043000+00001695303640455552   10118541409051B829       010720184R17157000000000000000000000000040000103311   12278        '
001605192143000+00001706303640487552   10118541409051B830       010720184R17157000000000000000000000000040000103311   12422        '
001605192243000+00001717303640519552   10118541409051B831       010720184R17157000000000000000000000000040000103311   12280        '
001605192343000+00001728303640551552   10118541409051B832       010720184R17157000000000000000000000000040000103311   12281        '
001605192443000+00001739303640583552   10118541409051B833       010720184R17157000000000000000000000000040000103311   12282        '
001605192543000+00001750303640615552   10118541409051B834       010720184R17157000000000000000000000000040000103311   12283        '
001605192643000+00001761303640647552   10118541409051B835       010720184R17157000000000000000000000000040000103311   12284        '
001605192743000+00001772303640679552   10118541409051B837       010720184R17157000000000000000000000000040000103311   12286        '
001605192843000+00001783303640711552   10118541409051B838       010720184R17157000000000000000000000000040000103311   12287        '
001605192943000+00001794303640743552   10118541409051B839       010720184R17157000000000000000000000000040000103311   12288        '
001605193043000+00001805303640775552   10118541409051B840       010720184R17157000000000000000000000000040000103311   12289        '
001605193143000+00001816303640807552   10118541409051B841       010720184R17157000000000000000000000000040000103311   12290        '
001605193243000+00001827303640839552   10118541409051B842       010720184R17157000000000000000000000000040000103311   12424        '
001605193343000+00001838303642695552   10118541409051B843       010720184R17157000000000000000000000000040000103311   12292        '
001605193443000+00001849303639745552   10118541409051B845       010720184R17157000000000000000000000000040000103311   12294        '
001605193543000+00001860303640871552   10118541409051B846       010720184R17157000000000000000000000000040000103311   12295        '
001605193643000+00001871303640903552   10118541409051B847       010720184R17157000000000000000000000000040000103311   12296        '
001605193743000+00001882303642727552   10118541409051B848       010720184R17157000000000000000000000000040000103311   12297        '
001605193843000+00001893303640935552   10118541409051B849       010720184R17157000000000000000000000000040000103311   12298        '
001605193943000+00001904303640967552   10118541409051B850       010720184R17157000000000000000000000000040000103311   12299        '
001605194043000+00001915303640999552   10118541409051B851       010720184R17157000000000000000000000000040000103311   12300        '
001605194243000+00001926303641031552   10118541409051B852       010720184R17157000000000000000000000000040000103311   12301        '
001605194343000+00001937303641063552   10118541409051B853       010720184R17157000000000000000000000000040000103311   12302        '
