measure_sid,goods_nomenclature_item_id,duty_expression_id,duty_amount,monetary_unit_code,measurement_unit_code,measurement_unit_qualifier_code
5139900,0206299111,04,160.5,EUR,DTN,
5139901,0206299115,01,6.8,,,
5139901,0206299115,04,160.5,EUR,DTN,
5139903,0206299121,01,6.8,,,
5139903,0206299121,04,160.5,EUR,DTN,
5139904,0206299129,01,6.8,,,
5139904,0206299129,04,160.5,EUR,DTN,
5139909,0206299133,01,6.8,,,
5139909,0206299133,04,160.5,EUR,DTN,
5139910,0206299135,01,6.8,,,
5139910,0206299135,04,160.5,EUR,DTN,
5139912,0206299137,01,6.8,,,
5139912,0206299137,04,160.5,EUR,DTN,
5139913,0206299138,01,6.8,,,
5139913,0206299138,04,160.5,EUR,DTN,
5139915,0206299141,01,6.8,,,
5139915,0206299141,04,160.5,EUR,DTN,
5139916,0206299142,01,6.8,,,
5139916,0206299142,04,160.5,EUR,DTN,
5139918,0206299144,01,6.8,,,
5139918,0206299144,04,160.5,EUR,DTN,
5139919,0206299145,01,6.8,,,
5139919,0206299145,04,160.5,EUR,DTN,
5139923,0206299151,01,6.8,,,
5139923,0206299151,04,160.5,EUR,DTN,
5139924,0206299159,01,6.8,,,
5139924,0206299159,04,160.5,EUR,DTN,
5139926,0206299161,01,6.8,,,
5139926,0206299161,04,160.5,EUR,DTN,
5139927,0206299169,01,6.8,,,
5139927,0206299169,04,160.5,EUR,DTN,
5139929,0206299171,01,6.8,,,
5139929,0206299171,04,160.5,EUR,DTN,
5139930,0206299179,01,6.8,,,
5139930,0206299179,04,160.5,EUR,DTN,
5139932,0206299191,01,6.8,,,
5139932,0206299191,04,160.5,EUR,DTN,
5139933,0206299199,01,6.8,,,
5139933,0206299199,04,160.5,EUR,DTN,
5139934,0206299900,01,0,,,
5139936,0206300010,01,0,,,
5139937,0206300090,01,0,,,
5139940,0206410010,01,0,,,
5139941,0206410090,01,0,,,
5139942,0206490000,01,0,,,
5139944,0206801000,01,0,,,
5139946,0206809100,01,0,,,
5139947,0206809900,01,0,,,
5139949,0206901000,01,0,,,
5139951,0206909100,01,0,,,
5139952,0206909900,01,0,,,
5139956,0207111000,01,15.8,EUR,DTN,
5139957,0207113000,01,18,EUR,DTN,
5139958,0207119000,01,19.6,EUR,DTN,
5139960,0207121000,01,18,EUR,DTN,
5139961,0207129000,01,19.6,EUR,DTN,
5139964,0207131000,01,61.8,EUR,DTN,
5139966,0207132000,01,21.6,EUR,DTN,
5139967,0207133000,01,16.2,EUR,DTN,
5139968,0207134000,01,11.3,EUR,DTN,
5139969,0207135000,01,36.3,EUR,DTN,
5139970,0207136000,01,27.9,EUR,DTN,
5139971,0207137000,01,60.8,EUR,DTN,
5139973,0207139100,01,0,,,
5139974,0207139900,01,0,,,
5139977,0207141000,01,61.8,EUR,DTN,
5139979,0207142000,01,21.6,EUR,DTN,
5139980,0207143000,01,16.2,EUR,DTN,
5139981,0207144000,01,11.3,EUR,DTN,
5139982,0207145000,01,36.3,EUR,DTN,
5139983,0207146000,01,27.9,EUR,DTN,
5139984,0207147000,01,60.8,EUR,DTN,
5139986,0207149100,01,0,,,
5139987,0207149900,01,0,,,
5139990,0207241000,01,20.5,EUR,DTN,
5139991,0207249000,01,22.5,EUR,DTN,
5139993,0207251000,01,20.5,EUR,DTN,
5139994,0207259000,01,22.5,EUR,DTN,
5139997,0207261000,01,51.4,EUR,DTN,
5139999,0207262000,01,24.7,EUR,DTN,
5140000,0207263000,01,16.2,EUR,DTN,
5140001,0207264000,01,11.3,EUR,DTN,
5140002,0207265000,01,41,EUR,DTN,
5140004,0207266000,01,15.4,EUR,DTN,
5140005,0207267000,01,27.8,EUR,DTN,
5140006,0207268000,01,50.1,EUR,DTN,
5140008,0207269100,01,3.8,,,
5140009,0207269900,01,11.3,EUR,DTN,
5140012,0207271000,01,51.4,EUR,DTN,
5140014,0207272000,01,24.7,EUR,DTN,
5140015,0207273000,01,16.2,EUR,DTN,
5140016,0207274000,01,11.3,EUR,DTN,
5140017,0207275000,01,41,EUR,DTN,
5140019,0207276000,01,15.4,EUR,DTN,
5140020,0207277000,01,27.8,EUR,DTN,
5140021,0207278000,01,50.1,EUR,DTN,
5140023,0207279100,01,0,,,
5140024,0207279900,01,0,,,
5140027,0207412000,01,22.9,EUR,DTN,
5140028,0207413000,01,27.9,EUR,DTN,
5140029,0207418000,01,31,EUR,DTN,
5140031,0207423000,01,27.9,EUR,DTN,
5140032,0207428000,01,31,EUR,DTN,
5140033,0207430000,01,0,,,
5140036,0207441000,01,77.4,EUR,DTN,
5140038,0207442100,01,34,EUR,DTN,
5140039,0207443100,01,0,,,
5140040,0207444100,01,0,,,
5140041,0207445100,01,69.7,EUR,DTN,
5140042,0207446100,01,27.9,EUR,DTN,
5140043,0207447100,01,39.8,EUR,DTN,
5140044,0207448100,01,74.3,EUR,DTN,
5140046,0207449100,01,0,,,
5140047,0207449900,01,0,,,
5140050,0207451000,01,77.4,EUR,DTN,
5140052,0207452100,01,34,EUR,DTN,
5140053,0207453100,01,16.2,EUR,DTN,
5140054,0207454100,01,11.3,EUR,DTN,
5140055,0207455100,01,69.7,EUR,DTN,
5140056,0207456100,01,27.9,EUR,DTN,
5140057,0207457100,01,39.8,EUR,DTN,
5140058,0207458100,01,74.3,EUR,DTN,
5140061,0207459300,01,0,,,
5140062,0207459500,01,0,,,
5140063,0207459900,01,0,,,
5140066,0207511000,01,0,,,
5140067,0207519000,01,0,,,
5140069,0207521000,01,0,,,
5140070,0207529000,01,0,,,
5140071,0207530000,01,0,,,
5140074,0207541000,01,0,,,
5140076,0207542100,01,0,,,
5140077,0207543100,01,0,,,
5140078,0207544100,01,0,,,
5140079,0207545100,01,0,,,
5140080,0207546100,01,0,,,
5140081,0207547100,01,0,,,
5140082,0207548100,01,0,,,
5140084,0207549100,01,0,,,
5140085,0207549900,01,0,,,
5140088,0207551000,01,0,,,
5140090,0207552100,01,0,,,
5140091,0207553100,01,0,,,
5140092,0207554100,01,0,,,
5140093,0207555100,01,0,,,
5140094,0207556100,01,0,,,
5140095,0207557100,01,0,,,
5140096,0207558100,01,0,,,
5140099,0207559300,01,0,,,
5140100,0207559500,01,0,,,
5140101,0207559900,01,0,,,
5140104,0207600510,01,0,,,
5140105,0207600590,01,0,,,
5140108,0207601000,01,0,,,
5140111,0207602110,01,0,,,
5140112,0207602190,01,0,,,
5140113,0207603100,01,0,,,
5140114,0207604100,01,0,,,
5140115,0207605100,01,0,,,
5140116,0207606100,01,0,,,
5140117,0207608100,01,0,,,
5140120,0207609110,01,0,,,
5140121,0207609190,01,0,,,
5140122,0207609900,01,0,,,
5140125,0208101000,01,0,,,
5140126,0208109000,01,0,,,
5140127,0208300000,01,9,,,
5140129,0208401000,01,6.4,,,
5140130,0208402000,01,6.4,,,
5140131,0208408000,01,9,,,
5140132,0208500000,01,0,,,
5140133,0208600000,01,0,,,
5140135,0208901000,01,0,,,
5140136,0208903000,01,0,,,
5140137,0208906000,01,0,,,
5140138,0208907000,01,0,,,
5140139,0208909800,01,0,,,
5140143,0209101100,01,0,,,
5140144,0209101900,01,0,,,
5140145,0209109000,01,0,,,
5140146,0209900000,01,0,,,
5140152,0210111100,01,10.2,EUR,DTN,
5140153,0210111900,01,7.9,EUR,DTN,
5140155,0210113100,01,19.9,EUR,DTN,
5140156,0210113900,01,15.7,EUR,DTN,
5140157,0210119000,01,2,,,
5140160,0210121100,01,6.1,EUR,DTN,
5140161,0210121900,01,10.2,EUR,DTN,
5140162,0210129000,01,2,,,
5140166,0210191000,01,9,EUR,DTN,
5140167,0210192000,01,9.9,EUR,DTN,
5140168,0210193000,01,7.9,EUR,DTN,
5140169,0210194000,01,11.4,EUR,DTN,
5140171,0210195010,01,11.4,EUR,DTN,
5140172,0210195090,01,11.4,EUR,DTN,
5140174,0210196000,01,15.7,EUR,DTN,
5140175,0210197000,01,19.7,EUR,DTN,
5140178,0210198110,01,19.9,EUR,DTN,
5140179,0210198120,01,19.9,EUR,DTN,
5140180,0210198190,01,19.9,EUR,DTN,
5140181,0210198900,01,19.9,EUR,DTN,
5140182,0210199000,01,2,,,
5140185,0210201010,01,8.1,,,
5140185,0210201010,04,140,EUR,DTN,
5140186,0210201090,01,8.1,,,
5140186,0210201090,04,140,EUR,DTN,
5140189,0210209011,01,8.1,,,
5140189,0210209011,04,160.1,EUR,DTN,
5140190,0210209015,01,8.1,,,
5140190,0210209015,04,160.1,EUR,DTN,
5140192,0210209091,01,8.1,,,
5140192,0210209091,04,160.1,EUR,DTN,
5140193,0210209099,01,8.1,,,
5140193,0210209099,04,160.1,EUR,DTN,
5140195,0210910000,01,2,,,
5140197,0210921000,01,2,,,
